"Date","Time","Open","High","Low","Close","Up","Down","Volume"
04/13/2026,14:25,6858.38,6861.64,6858.07,6861.31,15238,11835,27073.00
04/13/2026,14:30,6861.32,6862.11,6861.23,6862.00,15561,13055,28616.00
04/13/2026,14:35,6862.00,6866.32,6860.65,6864.85,19094,17138,36232.00
04/13/2026,14:40,6864.83,6868.58,6864.11,6865.55,18864,18550,37414.00
04/13/2026,14:45,6865.48,6866.06,6863.40,6865.38,20683,18643,39326.00
04/13/2026,14:50,6865.40,6865.40,6861.97,6863.94,24226,24779,49005.00
04/13/2026,14:55,6863.96,6882.65,6863.96,6881.16,50672,32446,83118.00
04/13/2026,15:00,6881.18,6887.00,6881.18,6886.23,867465,88962,956427.00
04/14/2026,08:35,6910.20,6913.10,6905.17,6909.30,38746,147743,186489.00
04/14/2026,08:40,6909.68,6918.74,6909.55,6915.17,41255,28900,70155.00
04/14/2026,08:45,6915.54,6924.56,6915.54,6923.33,29464,25463,54927.00
04/14/2026,08:50,6923.15,6923.28,6919.18,6922.44,24564,25611,50175.00
04/14/2026,08:55,6922.39,6922.91,6919.29,6920.58,21088,20948,42036.00
04/14/2026,09:00,6920.59,6921.52,6918.36,6919.25,20675,16948,37623.00
04/14/2026,09:05,6919.08,6921.97,6918.81,6920.20,20006,19014,39020.00
04/14/2026,09:10,6920.06,6927.97,6920.06,6927.88,19829,15047,34876.00
04/14/2026,09:15,6927.84,6933.42,6926.02,6933.24,19742,16413,36155.00
04/14/2026,09:20,6933.24,6934.89,6930.52,6930.95,19076,22295,41371.00
04/14/2026,09:25,6931.00,6934.86,6930.86,6932.10,19868,15600,35468.00
04/14/2026,09:30,6932.33,6934.66,6930.31,6934.19,18419,18249,36668.00
04/14/2026,09:35,6934.28,6934.51,6932.63,6933.25,18403,16399,34802.00
04/14/2026,09:40,6933.11,6937.89,6932.37,6932.56,16220,17445,33665.00
04/14/2026,09:45,6932.40,6933.88,6930.43,6932.68,15374,16074,31448.00
04/14/2026,09:50,6932.76,6938.41,6932.60,6937.51,16068,12313,28381.00
04/14/2026,09:55,6937.56,6940.90,6935.30,6940.77,15114,14697,29811.00
04/14/2026,10:00,6940.85,6940.97,6938.95,6940.23,15076,12528,27604.00
04/14/2026,10:05,6940.05,6940.12,6937.05,6937.05,13053,15102,28155.00
04/14/2026,10:10,6936.93,6937.09,6933.24,6933.68,11677,15372,27049.00
04/14/2026,10:15,6933.70,6935.69,6933.28,6934.03,13534,12444,25978.00
